8,5,3,24,12,27,30,21,3,6
1,8,21,40,20,24,45,9,7,12
6,3,27,28,32,15,10,32,7,27
8,9,15,8,20,9,15,9,1,18
9,4,30,36,16,27,5,24,1,15
1,5,15,36,8,9,45,18,4,30
10,7,12,8,8,21,50,18,8,21
6,7,27,20,20,30,50,24,10,9
5,3,21,36,20,12,40,18,16,15
5,4,24,24,12,21,25,60,6,27
6,12,15,40,32,9,5,6,9,15
7,3,15,12,28,9,5,48,10,30
3,5,3,16,4,27,25,15,7,9
2,7,21,16,32,3,45,21,10,24
16,9,3,4,32,21,5,12,9,18
2,2,18,28,32,24,5,18,1,6
1,3,12,4,20,9,15,27,7,15
4,2,18,4,8,21,15,12,3,27
4,2,30,24,16,12,15,6,3,27
3,10,24,8,16,27,5,3,6,6
10,5,3,12,28,15,10,16,5,15
4,3,30,8,12,12,40,3,5,15
10,8,30,40,16,3,5,15,1,24
8,2,6,36,24,12,40,21,7,12
9,7,9,4,40,27,45,27,5,21
7,5,21,40,32,3,5,6,1,9
9,1,30,8,40,24,10,24,6,9
10,2,15,40,8,21,20,8,3,18
4,6,15,4,28,3,5,3,5,27
5,2,9,28,40,15,10,12,6,21
5,7,9,32,32,30,5,21,1,24
14,10,9,16,8,15,15,30,4,15
9,8,27,36,28,24,50,24,7,15
2,9,18,28,36,24,10,12,5,27
10,1,30,16,24,6,5,21,8,15
1,14,9,4,32,15,10,30,5,15
7,3,27,24,28,21,20,27,7,6
20,5,21,20,28,9,35,24,4,6
4,7,3,28,20,6,10,48,4,18
12,8,21,28,32,21,35,36,24,24
2,8,27,12,24,12,40,36,7,30
4,10,21,4,4,30,45,42,1,18
9,2,27,8,8,21,45,54,1,15
2,5,27,28,8,12,30,6,2,18
8,3,9,8,4,27,45,20,1,15
4,10,3,8,24,15,10,9,9,3
9,20,12,8,36,12,20,27,9,21
9,8,6,16,24,30,40,30,6,21
4,8,9,4,4,30,35,30,7,27
7,2,24,8,4,9,20,24,2,18
3,7,15,32,24,27,30,20,9,21
1,4,27,4,8,6,45,15,4,9
10,6,40,36,20,18,5,6,7,27
10,1,6,24,16,12,15,21,10,3
2,1,30,4,8,15,20,6,1,12
7,3,15,4,8,3,20,40,10,9
16,10,30,32,36,27,35,24,9,30
8,20,24,40,4,12,20,12,9,24
2,4,24,4,32,21,15,9,6,12
12,7,3,16,36,27,50,24,12,6
12,3,12,8,40,9,30,24,1,12
1,14,12,4,24,3,50,40,7,12
1,10,24,40,16,27,35,12,5,30
2,3,9,40,32,30,20,4,2,6
20,2,18,4,40,27,30,12,20,15
9,6,6,28,28,21,5,4,4,24
2,8,3,36,8,21,35,28,10,15
2,2,9,36,20,15,5,28,2,6
1,8,9,24,20,9,15,28,3,6
8,5,9,36,20,12,10,40,24,15
9,8,24,36,20,30,50,28,5,24
2,3,9,12,40,24,50,20,2,30
7,6,3,28,36,18,25,8,1,24
9,10,24,16,36,3,25,28,4,21
6,1,3,20,8,12,45,8,5,15
9,5,6,20,8,12,15,36,9,14
